golden_id,doc_id,line,entity_id,concept_key,basis,role,period_label,period_end,period_type,value_num,value_text,value_low,value_high,unit,currency,is_estimate,snippet
G01,financials,38,RY,roe,,actual,Q3 FY2026,2026-07-31,fiscal,17.9,,,,pct,,false,| 17.9% |
G02,financials,38,RY,cet1,,actual,Q3 FY2026,2026-07-31,fiscal,13.5,,,,pct,,false,| 13.5% |
G03,financials,38,RY,dividend_per_quarter,,actual,Q3 FY2026,2026-07-31,fiscal,1.76,,,,money,,false,| $1.76 |
G04,financials,39,TD,cet1,,actual,Q3 FY2026,2026-07-31,fiscal,14.3,,,,pct,,false,| 14.3% |
G05,financials,39,TD,eps,adjusted,actual,Q3 FY2026,2026-07-31,fiscal,2.77,,,,money,,false,| $2.77 |
G06,financials,39,TD,eps_yoy_pct,,actual,Q3 FY2026,2026-07-31,fiscal,26,,,,pct,,false,| +26% |
G07,financials,40,BMO,roe,,actual,Q3 FY2026,2026-07-31,fiscal,13.5,,,,pct,,true,| ~13.5% |
G08,financials,41,BNS,revenue,,actual,Q3 FY2026,2026-07-31,fiscal,10540000000,,,,money,,false,| $10.54B |
G09,financials,42,CM,eps_yoy_pct,,actual,Q3 FY2026,2026-07-31,fiscal,26,,,,pct,,false,| +26% |
G10,financials,43,NA,revenue_yoy_pct,,actual,Q3 FY2026,2026-07-31,fiscal,18,,,,pct,,false,| +18% |
G11,financials,43,NA,market_cap,,actual,,2026-09-17,point,55000000000,,,,money,CAD,true,| ~$55B |
G12,financials,54,RY,pcl,,actual,Q3 FY2026,2026-07-31,fiscal,36,,,,bps,,false,| 36 bps |
G13,financials,55,TD,efficiency_ratio,,actual,Q3 FY2026,2026-07-31,fiscal,50.2,,,,pct,,false,| 50.2% |
G14,financials,57,BNS,pcl,,actual,Q3 FY2026,2026-07-31,fiscal,56,,,,bps,,false,| 56 bps |
G15,financials,59,NA,efficiency_ratio,,actual,Q3 FY2026,2026-07-31,fiscal,49.8,,,,pct,,false,| 49.8% |
G16,financials,232,RY,revenue,,actual,"Q3 FY2026 (Jul 31, 2026)",2026-07-31,fiscal,18540000000,,,,money,,false,| $18.54B |
G17,financials,232,RY,eps,adjusted,actual,"Q3 FY2026 (Jul 31, 2026)",2026-07-31,fiscal,4.28,,,,money,,false,$4.28 adj
G18,financials,232,RY,eps,,estimate,"Q3 FY2026 (Jul 31, 2026)",2026-07-31,fiscal,4.04,,,,money,,false,$4.04 est
G19,financials,232,RY,beat_miss,,attribute,"Q3 FY2026 (Jul 31, 2026)",2026-07-31,fiscal,,Beat,,,text,,false,| Beat |
G20,financials,501,TD,eps,,trend,trailing 8Q,2026-07-31,range,,↑,1.72,2.77,money,,false,EPS ↑ ($1.72 → $2.77
G21,financials,512,TD,revenue,adjusted,actual,"Q4 FY2024 (Oct 31, 2024)",2024-10-31,fiscal,14900000000,,,,money,CAD,false,C$14.9B (adj)
G22,financials,512,TD,eps,,actual,"Q4 FY2024 (Oct 31, 2024)",2024-10-31,fiscal,1.72,,,,money,CAD,false,C$1.72
