fact_key,document_name,document_sha256,entity_label,metric_hint,role,basis,value,value_low,value_high,value_text,original_value,unit,currency,is_estimate,period_label,period_type,period_end,line_start,line_end,char_start,char_end
G01,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,RY,roe,actual,,17.9,,,,17.9%,pct,,false,Q3 FY2026,fiscal,,38,38,3379,3384
G02,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,RY,cet1,actual,,13.5,,,,13.5%,pct,,false,Q3 FY2026,fiscal,,38,38,3371,3376
G03,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,RY,dividend_per_quarter,actual,,1.76,,,,$1.76,money,,false,Q3 FY2026,fiscal,,38,38,3387,3392
G04,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,TD,cet1,actual,,14.3,,,,14.3%,pct,,false,Q3 FY2026,fiscal,,39,39,3458,3463
G05,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,TD,eps,actual,adjusted,2.77,,,,$2.77,money,,false,Q3 FY2026,fiscal,,39,39,3427,3432
G06,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,TD,eps_yoy_pct,actual,,26,,,,+26%,pct,,false,Q3 FY2026,fiscal,,39,39,3435,3439
G07,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,BMO,roe,actual,,13.5,,,,~13.5%,pct,,true,Q3 FY2026,fiscal,,40,40,3563,3569
G08,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,BNS,revenue,actual,,10540000000,,,,$10.54B,money,,false,Q3 FY2026,fiscal,,41,41,3641,3648
G09,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,CM,eps_yoy_pct,actual,,26,,,,+26%,pct,,false,Q3 FY2026,fiscal,,42,42,3723,3727
G10,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,NA,revenue_yoy_pct,actual,,18,,,,+18%,pct,,false,Q3 FY2026,fiscal,,43,43,3850,3854
G11,canadian-financials-research.md,c29e4bb72c8e978cac1e20169aa9589b910402de5d3c7b5e95dabf6322396c26,NA,market_cap,actual,,55000000000,,,,~$55B,money,CAD,true,,point,2026-09-17,43,43,3818,3823
